question,intent,response
What is the policy on student parking violations?,parking_violations,Parking violations are subject to fines and penalties.
What is the procedure for applying for a student visa renewal?,visa_renewal,Student visa renewals are processed by the international office.
What is the policy on campus accessibility?,campus_accessibility,Campus accessibility services are available for students with disabilities.
What is the procedure for applying for a student exchange program?,exchange_program_application,Applications for student exchange programs are submitted to the international office.
What is the policy on student disciplinary actions?,disciplinary_actions,Disciplinary actions are handled by the student affairs office.
What is the procedure for applying for a student loan?,student_loan_application,Student loan applications are submitted through the financial aid office.
What is the policy on student housing contracts?,housing_contracts,Housing contracts must be signed before moving into campus housing.
What is the procedure for applying for a student ID?,student_id_application,Student ID applications are submitted during orientation.
What is the policy on student attendance appeals?,attendance_appeals,Attendance appeals can be submitted to the academic affairs office.
What is the procedure for applying for a student transcript?,student_transcript_application,Student transcript applications are submitted through the registrar's office.
What is the policy on student academic probation appeals?,probation_appeals,Academic probation appeals are reviewed by the academic affairs office.
What is the procedure for applying for a student visa?,student_visa_application,Student visa applications are submitted to the international office.
What is the policy on student academic dismissal?,academic_dismissal,Academic dismissal policies are outlined in the student handbook.
What is the procedure for applying for a student scholarship?,scholarship_application,Scholarship applications are submitted through the financial aid office.
What is the policy on student academic honors?,academic_honors,Academic honors are awarded based on GPA and academic achievements.
What is the procedure for applying for a student transfer?,student_transfer_application,Student transfer applications are submitted through the admissions office.
What is the policy on student academic appeals?,academic_appeals,Academic appeals are reviewed by the academic affairs office.
What is the procedure for applying for a student withdrawal?,student_withdrawal_application,Student withdrawal applications are submitted through the registrar's office.
